user_id,behaviour_type,impulse_sensitivity,self_control_factor,base_spend_mean,base_txn_probability
1187,Disciplined,0.49,0.611,802.39,0.4
1188,Disciplined,0.44,0.698,649.31,0.4
1189,Weekend_Impulse,0.527,0.414,1090.76,0.5
1190,Emotional_Night,0.759,0.258,232.04,0.6
1191,Weekend_Impulse,0.517,0.547,871.95,0.5
1192,Disciplined,0.429,0.68,758.36,0.4
1193,Weekend_Impulse,0.593,0.539,1188.14,0.5
1194,Disciplined,0.38,0.676,947.36,0.4
1195,Salary_Splurger,0.725,0.354,1463.89,0.5
1196,Emotional_Night,0.807,0.452,296.45,0.6
1197,Salary_Splurger,0.567,0.573,1556.01,0.5
1198,Weekend_Impulse,0.559,0.534,881.11,0.5
1199,Disciplined,0.451,0.654,783.83,0.4
1200,Emotional_Night,0.778,0.309,184.98,0.6
1201,Disciplined,0.441,0.713,704.05,0.4
1202,Weekend_Impulse,0.68,0.58,963.84,0.5
1203,Weekend_Impulse,0.577,0.553,971.14,0.5
1204,Salary_Splurger,0.548,0.328,2153.72,0.5
1205,Weekend_Impulse,0.546,0.541,1090.72,0.5
1206,Disciplined,0.439,0.703,768.21,0.4
1207,Disciplined,0.391,0.693,947.13,0.4
1208,Salary_Splurger,0.653,0.52,1954.46,0.5
1209,Disciplined,0.465,0.655,857.23,0.4
1210,Emotional_Night,0.708,0.235,548.81,0.6
1211,Weekend_Impulse,0.529,0.412,776.52,0.5
1212,Disciplined,0.364,0.711,866.63,0.4
1213,Weekend_Impulse,0.652,0.534,1051.09,0.5
1214,Disciplined,0.492,0.649,1107.67,0.4
1215,Emotional_Night,0.734,0.284,733.75,0.6
1216,Disciplined,0.336,0.634,820.71,0.4
1217,Disciplined,0.3,0.662,915.58,0.4
1218,Salary_Splurger,0.606,0.555,1375.42,0.5
1219,Weekend_Impulse,0.519,0.579,1347.6,0.5
1220,Weekend_Impulse,0.608,0.502,583.43,0.5
1221,Emotional_Night,0.747,0.484,1184.19,0.6
1222,Emotional_Night,0.806,0.231,1021.79,0.6
1223,Weekend_Impulse,0.689,0.541,1213.56,0.5
1224,Emotional_Night,0.709,0.284,778.48,0.6
1225,Emotional_Night,0.845,0.376,968.55,0.6
1226,Disciplined,0.446,0.758,892.56,0.4
1227,Emotional_Night,0.708,0.394,714.61,0.6
1228,Emotional_Night,0.798,0.375,742.94,0.6
1229,Salary_Splurger,0.515,0.441,1812.57,0.5
1230,Weekend_Impulse,0.545,0.522,672.42,0.5
1231,Weekend_Impulse,0.523,0.451,875.85,0.5
1232,Disciplined,0.311,0.658,771.63,0.4
1233,Emotional_Night,0.737,0.218,14.21,0.6
1234,Emotional_Night,0.873,0.476,938.03,0.6
1235,Weekend_Impulse,0.522,0.538,829.17,0.5
1236,Disciplined,0.316,0.669,591.63,0.4
1237,Weekend_Impulse,0.635,0.536,1035.12,0.5
1238,Disciplined,0.374,0.678,747.04,0.4
1239,Weekend_Impulse,0.509,0.403,1162.74,0.5
1240,Disciplined,0.482,0.739,612.1,0.4
1241,Emotional_Night,0.771,0.236,667.82,0.6
1242,Salary_Splurger,0.624,0.524,1098.92,0.5
1243,Disciplined,0.427,0.734,799.99,0.4
1244,Weekend_Impulse,0.678,0.407,1387.56,0.5
1245,Disciplined,0.325,0.651,815.4,0.4
1246,Disciplined,0.361,0.791,897.87,0.4
1247,Weekend_Impulse,0.598,0.576,1433.85,0.5
1248,Weekend_Impulse,0.598,0.426,807.44,0.5
1249,Emotional_Night,0.895,0.366,375.72,0.6
1250,Disciplined,0.385,0.707,725.83,0.4
1251,Disciplined,0.484,0.731,887.65,0.4
1252,Disciplined,0.478,0.722,810.48,0.4
1253,Disciplined,0.418,0.717,911.65,0.4
1254,Weekend_Impulse,0.544,0.499,1050.18,0.5
1255,Salary_Splurger,0.649,0.419,1298.52,0.5
1256,Disciplined,0.373,0.627,796.9,0.4
1257,Disciplined,0.309,0.675,818.52,0.4
1258,Disciplined,0.397,0.671,835.79,0.4
1259,Disciplined,0.429,0.66,896.2,0.4
1260,Disciplined,0.453,0.695,790.62,0.4
1261,Weekend_Impulse,0.585,0.444,894.08,0.5
1262,Weekend_Impulse,0.67,0.597,926.48,0.5
1263,Salary_Splurger,0.743,0.417,1936.84,0.5
1264,Emotional_Night,0.795,0.39,870.49,0.6
1265,Disciplined,0.361,0.73,841.65,0.4
1266,Emotional_Night,0.816,0.426,788.16,0.6
1267,Emotional_Night,0.838,0.287,1182.75,0.6
1268,Salary_Splurger,0.548,0.49,1274.93,0.5
1269,Weekend_Impulse,0.51,0.579,851.74,0.5
1270,Salary_Splurger,0.721,0.35,2259.75,0.5
1271,Weekend_Impulse,0.531,0.568,1045.84,0.5
1272,Weekend_Impulse,0.59,0.499,1271.15,0.5
1273,Weekend_Impulse,0.675,0.537,825.31,0.5
1274,Emotional_Night,0.725,0.496,537.64,0.6
1275,Emotional_Night,0.825,0.333,1261.22,0.6
1276,Weekend_Impulse,0.663,0.447,1057.88,0.5
1277,Disciplined,0.304,0.702,744.0,0.4
1278,Weekend_Impulse,0.688,0.585,795.29,0.5
1279,Emotional_Night,0.789,0.44,702.21,0.6
1280,Disciplined,0.353,0.661,801.47,0.4
1281,Emotional_Night,0.722,0.304,22.93,0.6
1282,Weekend_Impulse,0.502,0.569,1382.76,0.5
1283,Emotional_Night,0.845,0.333,1086.36,0.6
1284,Weekend_Impulse,0.54,0.551,1158.5,0.5
1285,Weekend_Impulse,0.632,0.577,960.09,0.5
1286,Weekend_Impulse,0.504,0.534,982.57,0.5
1287,Weekend_Impulse,0.696,0.418,1227.74,0.5
1288,Disciplined,0.446,0.641,729.58,0.4
1289,Emotional_Night,0.78,0.338,242.25,0.6
1290,Salary_Splurger,0.738,0.373,2070.3,0.5
1291,Emotional_Night,0.723,0.226,930.25,0.6
1292,Salary_Splurger,0.6,0.533,1302.21,0.5
1293,Disciplined,0.391,0.718,885.65,0.4
1294,Disciplined,0.35,0.76,597.27,0.4
1295,Disciplined,0.39,0.726,869.66,0.4
1296,Salary_Splurger,0.693,0.356,879.35,0.5
1297,Disciplined,0.492,0.752,911.66,0.4
1298,Disciplined,0.377,0.609,623.03,0.4
1299,Disciplined,0.498,0.676,784.83,0.4
1300,Weekend_Impulse,0.534,0.486,977.48,0.5
1301,Disciplined,0.436,0.62,741.86,0.4
1302,Disciplined,0.442,0.77,704.92,0.4
1303,Weekend_Impulse,0.638,0.587,840.81,0.5
1304,Disciplined,0.484,0.669,783.14,0.4
1305,Salary_Splurger,0.575,0.388,1108.57,0.5
1306,Disciplined,0.384,0.703,801.55,0.4
1307,Disciplined,0.436,0.731,557.97,0.4
1308,Disciplined,0.475,0.712,752.29,0.4
1309,Weekend_Impulse,0.669,0.522,696.91,0.5
1310,Weekend_Impulse,0.617,0.486,1066.87,0.5
1311,Emotional_Night,0.775,0.435,659.42,0.6
1312,Weekend_Impulse,0.694,0.569,858.04,0.5
1313,Disciplined,0.498,0.716,938.5,0.4
1314,Emotional_Night,0.75,0.214,313.25,0.6
1315,Disciplined,0.347,0.8,772.76,0.4
1316,Weekend_Impulse,0.685,0.447,914.05,0.5
1317,Weekend_Impulse,0.513,0.507,1200.66,0.5
1318,Emotional_Night,0.758,0.241,359.46,0.6
1319,Disciplined,0.333,0.693,920.16,0.4
1320,Emotional_Night,0.759,0.388,330.82,0.6
1321,Emotional_Night,0.866,0.383,269.95,0.6
1322,Disciplined,0.491,0.615,664.19,0.4
1323,Weekend_Impulse,0.533,0.496,1031.69,0.5
1324,Disciplined,0.466,0.785,892.14,0.4
1325,Weekend_Impulse,0.621,0.586,1223.13,0.5
1326,Weekend_Impulse,0.531,0.558,1078.0,0.5
1327,Weekend_Impulse,0.592,0.478,980.8,0.5
1328,Disciplined,0.449,0.653,702.4,0.4
1329,Weekend_Impulse,0.557,0.449,1164.99,0.5
1330,Salary_Splurger,0.68,0.35,1312.38,0.5
1331,Emotional_Night,0.819,0.351,905.35,0.6
1332,Disciplined,0.424,0.784,728.92,0.4
1333,Disciplined,0.47,0.61,616.0,0.4
1334,Disciplined,0.326,0.698,850.59,0.4
1335,Weekend_Impulse,0.51,0.559,986.23,0.5
1336,Emotional_Night,0.777,0.33,376.88,0.6
1337,Emotional_Night,0.869,0.374,487.71,0.6
1338,Weekend_Impulse,0.691,0.402,921.11,0.5
1339,Emotional_Night,0.769,0.422,173.46,0.6
1340,Weekend_Impulse,0.541,0.409,902.37,0.5
1341,Emotional_Night,0.826,0.26,574.92,0.6
1342,Disciplined,0.383,0.696,703.55,0.4
1343,Disciplined,0.347,0.634,854.09,0.4
1344,Emotional_Night,0.72,0.425,322.39,0.6
1345,Salary_Splurger,0.707,0.512,1064.37,0.5
1346,Emotional_Night,0.713,0.266,90.16,0.6
1347,Disciplined,0.479,0.637,789.09,0.4
1348,Emotional_Night,0.796,0.252,858.2,0.6
1349,Weekend_Impulse,0.618,0.535,1024.53,0.5
1350,Disciplined,0.476,0.603,846.66,0.4
1351,Disciplined,0.335,0.653,804.8,0.4
1352,Salary_Splurger,0.627,0.393,1065.37,0.5
1353,Disciplined,0.437,0.771,682.07,0.4
1354,Salary_Splurger,0.534,0.568,1318.47,0.5
1355,Disciplined,0.48,0.704,898.81,0.4
1356,Disciplined,0.328,0.709,699.44,0.4
1357,Weekend_Impulse,0.681,0.451,976.06,0.5
1358,Disciplined,0.477,0.674,590.86,0.4
1359,Weekend_Impulse,0.678,0.415,811.3,0.5
1360,Disciplined,0.325,0.609,880.79,0.4
1361,Salary_Splurger,0.781,0.341,1406.41,0.5
1362,Disciplined,0.45,0.739,737.28,0.4
1363,Weekend_Impulse,0.643,0.538,1297.61,0.5
1364,Disciplined,0.303,0.658,875.75,0.4
1365,Emotional_Night,0.827,0.358,590.95,0.6
1366,Emotional_Night,0.815,0.458,728.26,0.6
1367,Emotional_Night,0.799,0.294,571.72,0.6
1368,Weekend_Impulse,0.674,0.439,1451.0,0.5
1369,Emotional_Night,0.742,0.361,689.65,0.6
1370,Weekend_Impulse,0.504,0.591,743.52,0.5
1371,Weekend_Impulse,0.678,0.524,758.05,0.5
1372,Weekend_Impulse,0.572,0.581,1117.32,0.5
1373,Disciplined,0.415,0.706,696.75,0.4
1374,Salary_Splurger,0.602,0.332,1990.22,0.5
1375,Emotional_Night,0.89,0.457,396.47,0.6
1376,Weekend_Impulse,0.569,0.505,670.01,0.5
1377,Weekend_Impulse,0.529,0.597,821.0,0.5
1378,Weekend_Impulse,0.616,0.448,973.38,0.5
1379,Disciplined,0.375,0.658,762.6,0.4
1380,Weekend_Impulse,0.681,0.536,1142.65,0.5
1381,Emotional_Night,0.765,0.483,725.41,0.6
1382,Disciplined,0.44,0.602,849.53,0.4
1383,Salary_Splurger,0.786,0.389,1681.37,0.5
1384,Disciplined,0.461,0.626,711.28,0.4
1385,Weekend_Impulse,0.527,0.513,1492.02,0.5
1386,Weekend_Impulse,0.62,0.585,929.02,0.5
1387,Disciplined,0.414,0.738,892.48,0.4
1388,Disciplined,0.471,0.636,697.47,0.4
1389,Disciplined,0.497,0.743,709.0,0.4
1390,Disciplined,0.475,0.66,882.27,0.4
1391,Weekend_Impulse,0.667,0.53,1234.63,0.5
1392,Weekend_Impulse,0.545,0.58,1039.77,0.5
1393,Weekend_Impulse,0.545,0.45,1148.68,0.5
1394,Weekend_Impulse,0.571,0.537,877.53,0.5
1395,Emotional_Night,0.812,0.301,358.41,0.6
1396,Disciplined,0.446,0.633,743.75,0.4
1397,Weekend_Impulse,0.64,0.549,1051.13,0.5
1398,Disciplined,0.385,0.744,741.27,0.4
1399,Weekend_Impulse,0.546,0.509,738.37,0.5
1400,Weekend_Impulse,0.628,0.575,1326.65,0.5
1401,Salary_Splurger,0.565,0.45,1088.18,0.5
1402,Emotional_Night,0.831,0.361,472.91,0.6
1403,Disciplined,0.329,0.661,664.99,0.4
1404,Disciplined,0.321,0.693,776.2,0.4
1405,Disciplined,0.486,0.765,840.76,0.4
1406,Salary_Splurger,0.704,0.38,1301.66,0.5
1407,Weekend_Impulse,0.612,0.513,913.05,0.5
1408,Disciplined,0.474,0.72,969.08,0.4
1409,Emotional_Night,0.771,0.413,636.39,0.6
1410,Disciplined,0.499,0.697,813.51,0.4
1411,Weekend_Impulse,0.579,0.532,1242.61,0.5
1412,Weekend_Impulse,0.597,0.507,928.37,0.5
1413,Salary_Splurger,0.774,0.367,795.57,0.5
1414,Disciplined,0.388,0.795,843.73,0.4
1415,Disciplined,0.433,0.684,716.74,0.4
1416,Disciplined,0.325,0.795,784.44,0.4
1417,Disciplined,0.384,0.727,973.82,0.4
1418,Salary_Splurger,0.547,0.418,2046.71,0.5
1419,Weekend_Impulse,0.557,0.517,1153.62,0.5
1420,Emotional_Night,0.888,0.296,751.02,0.6
1421,Disciplined,0.435,0.659,772.65,0.4
1422,Disciplined,0.356,0.64,613.46,0.4
1423,Disciplined,0.427,0.708,708.05,0.4
1424,Salary_Splurger,0.743,0.52,2564.68,0.5
1425,Emotional_Night,0.886,0.413,620.17,0.6
1426,Salary_Splurger,0.674,0.392,1233.49,0.5
1427,Salary_Splurger,0.563,0.394,2074.2,0.5
1428,Disciplined,0.32,0.745,913.94,0.4
1429,Emotional_Night,0.852,0.411,86.2,0.6
1430,Emotional_Night,0.852,0.359,532.05,0.6
1431,Disciplined,0.425,0.669,604.38,0.4
1432,Disciplined,0.411,0.685,660.66,0.4
1433,Disciplined,0.378,0.777,688.57,0.4
1434,Weekend_Impulse,0.638,0.476,755.04,0.5
1435,Emotional_Night,0.816,0.289,730.96,0.6
1436,Disciplined,0.471,0.671,794.38,0.4
1437,Disciplined,0.371,0.661,724.17,0.4
1438,Salary_Splurger,0.716,0.502,1017.86,0.5
1439,Disciplined,0.482,0.74,779.15,0.4
1440,Weekend_Impulse,0.635,0.555,1148.07,0.5
1441,Salary_Splurger,0.799,0.51,639.55,0.5
1442,Weekend_Impulse,0.546,0.566,915.51,0.5
1443,Emotional_Night,0.725,0.338,289.2,0.6
1444,Disciplined,0.482,0.781,782.49,0.4
1445,Disciplined,0.454,0.762,930.47,0.4
1446,Weekend_Impulse,0.524,0.568,966.0,0.5
1447,Salary_Splurger,0.582,0.433,1385.59,0.5
1448,Salary_Splurger,0.693,0.446,1456.19,0.5
1449,Disciplined,0.363,0.769,673.68,0.4
1450,Salary_Splurger,0.532,0.491,2187.43,0.5
1451,Emotional_Night,0.82,0.387,416.77,0.6
1452,Weekend_Impulse,0.62,0.413,1087.48,0.5
1453,Disciplined,0.395,0.759,934.99,0.4
1454,Salary_Splurger,0.678,0.547,790.89,0.5
1455,Disciplined,0.437,0.721,1036.23,0.4
1456,Weekend_Impulse,0.58,0.456,1049.39,0.5
1457,Disciplined,0.309,0.631,850.97,0.4
1458,Weekend_Impulse,0.536,0.454,1285.32,0.5
1459,Disciplined,0.418,0.657,748.05,0.4
1460,Emotional_Night,0.718,0.249,227.26,0.6
1461,Weekend_Impulse,0.631,0.434,917.64,0.5
1462,Disciplined,0.42,0.736,709.83,0.4
1463,Salary_Splurger,0.784,0.427,1581.45,0.5
1464,Emotional_Night,0.883,0.244,716.23,0.6
1465,Emotional_Night,0.729,0.47,200.02,0.6
1466,Salary_Splurger,0.721,0.333,1277.65,0.5
1467,Disciplined,0.436,0.611,809.49,0.4
1468,Disciplined,0.401,0.659,609.36,0.4
1469,Disciplined,0.485,0.676,733.21,0.4
1470,Emotional_Night,0.8,0.407,456.96,0.6
1471,Disciplined,0.399,0.686,767.64,0.4
1472,Emotional_Night,0.879,0.219,893.98,0.6
1473,Disciplined,0.49,0.771,860.2,0.4
1474,Salary_Splurger,0.764,0.459,1240.37,0.5
1475,Disciplined,0.478,0.724,868.12,0.4
1476,Salary_Splurger,0.547,0.41,1273.41,0.5
1477,Weekend_Impulse,0.639,0.505,1111.27,0.5
1478,Disciplined,0.428,0.682,565.47,0.4
1479,Disciplined,0.422,0.678,886.52,0.4
1480,Emotional_Night,0.896,0.204,1183.16,0.6
1481,Weekend_Impulse,0.567,0.406,996.28,0.5
1482,Weekend_Impulse,0.605,0.413,353.06,0.5
1483,Weekend_Impulse,0.617,0.586,865.03,0.5
1484,Emotional_Night,0.886,0.499,748.09,0.6
1485,Emotional_Night,0.731,0.356,630.72,0.6
1486,Emotional_Night,0.836,0.388,582.09,0.6
1487,Disciplined,0.447,0.684,951.25,0.4
1488,Disciplined,0.41,0.791,931.4,0.4
1489,Disciplined,0.395,0.7,918.59,0.4
1490,Weekend_Impulse,0.597,0.484,924.97,0.5
1491,Disciplined,0.394,0.654,894.32,0.4
1492,Emotional_Night,0.879,0.371,672.1,0.6
1493,Disciplined,0.345,0.744,758.39,0.4
1494,Disciplined,0.472,0.75,823.82,0.4
1495,Weekend_Impulse,0.58,0.562,1124.92,0.5
1496,Weekend_Impulse,0.633,0.432,949.27,0.5
1497,Disciplined,0.424,0.745,806.08,0.4
1498,Disciplined,0.449,0.79,780.86,0.4
1499,Weekend_Impulse,0.632,0.563,953.42,0.5
1500,Emotional_Night,0.786,0.433,555.45,0.6
1501,Emotional_Night,0.756,0.318,648.04,0.6
1502,Emotional_Night,0.76,0.321,220.55,0.6
1503,Emotional_Night,0.83,0.446,217.95,0.6
1504,Weekend_Impulse,0.558,0.422,1211.26,0.5
1505,Disciplined,0.496,0.788,705.57,0.4
1506,Disciplined,0.451,0.693,706.31,0.4
1507,Salary_Splurger,0.746,0.428,1556.49,0.5
1508,Disciplined,0.383,0.627,832.53,0.4
1509,Weekend_Impulse,0.622,0.57,991.73,0.5
1510,Salary_Splurger,0.55,0.489,1538.95,0.5
1511,Disciplined,0.353,0.689,913.49,0.4
1512,Weekend_Impulse,0.563,0.472,983.16,0.5
1513,Disciplined,0.411,0.674,695.32,0.4
1514,Disciplined,0.455,0.736,828.83,0.4
1515,Emotional_Night,0.839,0.222,450.78,0.6
1516,Salary_Splurger,0.617,0.385,1184.67,0.5
1517,Weekend_Impulse,0.639,0.453,1019.83,0.5
1518,Salary_Splurger,0.609,0.35,1358.35,0.5
1519,Salary_Splurger,0.57,0.453,2118.77,0.5
1520,Weekend_Impulse,0.575,0.436,845.93,0.5
1521,Salary_Splurger,0.512,0.353,1178.68,0.5
1522,Disciplined,0.327,0.776,821.77,0.4
1523,Disciplined,0.326,0.691,839.37,0.4
1524,Disciplined,0.486,0.791,756.27,0.4
1525,Disciplined,0.478,0.651,823.27,0.4
1526,Weekend_Impulse,0.58,0.575,695.29,0.5
1527,Weekend_Impulse,0.652,0.49,1382.54,0.5
1528,Disciplined,0.462,0.748,739.21,0.4
1529,Weekend_Impulse,0.502,0.593,986.66,0.5
1530,Disciplined,0.316,0.794,722.64,0.4
1531,Disciplined,0.324,0.617,676.37,0.4
1532,Emotional_Night,0.774,0.249,532.26,0.6
1533,Disciplined,0.379,0.719,697.96,0.4
1534,Weekend_Impulse,0.574,0.529,1072.78,0.5
1535,Weekend_Impulse,0.684,0.497,940.35,0.5
1536,Weekend_Impulse,0.651,0.503,1091.21,0.5
1537,Weekend_Impulse,0.685,0.436,846.72,0.5
1538,Disciplined,0.375,0.624,819.1,0.4
1539,Disciplined,0.41,0.762,951.59,0.4
1540,Salary_Splurger,0.604,0.378,1806.81,0.5
1541,Disciplined,0.464,0.798,717.42,0.4
1542,Disciplined,0.477,0.775,1016.98,0.4
1543,Disciplined,0.338,0.766,705.46,0.4
1544,Weekend_Impulse,0.567,0.519,1004.88,0.5
1545,Weekend_Impulse,0.58,0.518,691.25,0.5
1546,Weekend_Impulse,0.5,0.572,775.69,0.5
1547,Emotional_Night,0.83,0.263,881.47,0.6
1548,Weekend_Impulse,0.614,0.441,956.69,0.5
1549,Emotional_Night,0.778,0.336,56.95,0.6
1550,Weekend_Impulse,0.568,0.411,1074.93,0.5
1551,Weekend_Impulse,0.579,0.556,1049.22,0.5
1552,Emotional_Night,0.788,0.243,157.64,0.6
1553,Salary_Splurger,0.776,0.429,1777.3,0.5
1554,Disciplined,0.311,0.607,839.92,0.4
1555,Disciplined,0.489,0.604,761.97,0.4
1556,Emotional_Night,0.858,0.343,806.91,0.6
1557,Salary_Splurger,0.592,0.547,1622.56,0.5
1558,Disciplined,0.477,0.626,778.88,0.4
1559,Weekend_Impulse,0.523,0.508,1140.53,0.5
1560,Disciplined,0.398,0.683,867.19,0.4
1561,Disciplined,0.405,0.751,701.94,0.4
1562,Salary_Splurger,0.674,0.312,721.48,0.5
1563,Disciplined,0.459,0.713,871.09,0.4
1564,Disciplined,0.467,0.784,755.06,0.4
1565,Weekend_Impulse,0.629,0.566,884.64,0.5
1566,Salary_Splurger,0.627,0.458,1679.57,0.5
1567,Weekend_Impulse,0.561,0.584,831.08,0.5
1568,Disciplined,0.332,0.725,726.7,0.4
1569,Emotional_Night,0.875,0.396,569.86,0.6
1570,Disciplined,0.457,0.8,734.43,0.4
1571,Disciplined,0.331,0.605,810.63,0.4
1572,Weekend_Impulse,0.618,0.41,1032.36,0.5
1573,Weekend_Impulse,0.572,0.583,986.33,0.5
1574,Disciplined,0.401,0.623,871.43,0.4
1575,Weekend_Impulse,0.508,0.45,965.88,0.5
1576,Emotional_Night,0.815,0.369,968.12,0.6
1577,Salary_Splurger,0.77,0.434,1574.71,0.5
1578,Weekend_Impulse,0.64,0.581,1221.74,0.5
1579,Weekend_Impulse,0.603,0.4,1132.47,0.5
1580,Emotional_Night,0.762,0.213,685.12,0.6
1581,Emotional_Night,0.805,0.23,116.16,0.6
1582,Weekend_Impulse,0.521,0.569,1113.27,0.5
1583,Disciplined,0.429,0.715,781.84,0.4
1584,Salary_Splurger,0.719,0.564,1007.89,0.5
1585,Emotional_Night,0.747,0.487,380.02,0.6
1586,Salary_Splurger,0.553,0.467,1652.48,0.5
1587,Salary_Splurger,0.604,0.477,2295.53,0.5
1588,Salary_Splurger,0.505,0.311,886.55,0.5
1589,Disciplined,0.44,0.633,879.83,0.4
1590,Disciplined,0.38,0.748,523.82,0.4
1591,Disciplined,0.422,0.67,676.92,0.4
1592,Weekend_Impulse,0.644,0.526,1093.27,0.5
1593,Disciplined,0.37,0.758,800.98,0.4
1594,Weekend_Impulse,0.686,0.548,644.79,0.5
1595,Emotional_Night,0.766,0.492,374.96,0.6
1596,Disciplined,0.495,0.644,809.67,0.4
1597,Disciplined,0.411,0.8,914.16,0.4
1598,Disciplined,0.413,0.785,724.23,0.4
1599,Disciplined,0.34,0.726,676.9,0.4
1600,Disciplined,0.386,0.732,506.63,0.4
1601,Salary_Splurger,0.71,0.454,1568.42,0.5
1602,Disciplined,0.442,0.641,954.29,0.4
1603,Salary_Splurger,0.675,0.415,1599.72,0.5
1604,Weekend_Impulse,0.669,0.463,894.86,0.5
1605,Disciplined,0.316,0.789,871.51,0.4
1606,Emotional_Night,0.753,0.279,404.55,0.6
1607,Disciplined,0.311,0.705,766.43,0.4
1608,Weekend_Impulse,0.606,0.521,839.7,0.5
1609,Disciplined,0.385,0.772,675.53,0.4
1610,Emotional_Night,0.729,0.397,109.13,0.6
1611,Disciplined,0.403,0.62,991.91,0.4
1612,Emotional_Night,0.784,0.332,148.12,0.6
1613,Emotional_Night,0.868,0.457,657.98,0.6
1614,Emotional_Night,0.821,0.286,879.7,0.6
1615,Salary_Splurger,0.711,0.4,1629.89,0.5
1616,Disciplined,0.461,0.682,729.45,0.4
1617,Disciplined,0.463,0.651,878.2,0.4
1618,Weekend_Impulse,0.529,0.554,868.82,0.5
1619,Disciplined,0.489,0.747,886.95,0.4
1620,Emotional_Night,0.76,0.497,575.67,0.6
1621,Disciplined,0.389,0.663,816.75,0.4
1622,Disciplined,0.439,0.712,752.99,0.4
1623,Emotional_Night,0.885,0.24,430.64,0.6
1624,Salary_Splurger,0.562,0.314,2120.81,0.5
1625,Weekend_Impulse,0.691,0.565,742.52,0.5
1626,Emotional_Night,0.76,0.465,422.49,0.6
1627,Salary_Splurger,0.538,0.312,122.11,0.5
1628,Salary_Splurger,0.745,0.363,533.49,0.5
1629,Disciplined,0.339,0.775,859.46,0.4
1630,Disciplined,0.45,0.75,684.55,0.4
1631,Emotional_Night,0.899,0.382,1015.63,0.6
1632,Salary_Splurger,0.764,0.513,849.78,0.5
1633,Emotional_Night,0.879,0.474,694.34,0.6
1634,Weekend_Impulse,0.654,0.404,995.8,0.5
1635,Weekend_Impulse,0.615,0.467,871.43,0.5
1636,Disciplined,0.446,0.648,746.03,0.4
1637,Salary_Splurger,0.715,0.425,1513.63,0.5
1638,Salary_Splurger,0.733,0.432,1455.46,0.5
1639,Weekend_Impulse,0.592,0.587,590.23,0.5
1640,Disciplined,0.398,0.7,855.43,0.4
1641,Weekend_Impulse,0.639,0.469,994.22,0.5
1642,Disciplined,0.355,0.738,782.03,0.4
1643,Disciplined,0.466,0.673,947.2,0.4
1644,Disciplined,0.335,0.652,743.04,0.4
1645,Weekend_Impulse,0.578,0.485,1071.74,0.5
1646,Emotional_Night,0.797,0.386,496.3,0.6
1647,Emotional_Night,0.888,0.24,507.93,0.6
1648,Salary_Splurger,0.603,0.483,1282.89,0.5
1649,Weekend_Impulse,0.672,0.407,992.12,0.5
1650,Emotional_Night,0.804,0.426,800.73,0.6
1651,Disciplined,0.377,0.752,926.96,0.4
1652,Weekend_Impulse,0.639,0.509,883.28,0.5
1653,Emotional_Night,0.814,0.298,744.36,0.6
1654,Emotional_Night,0.794,0.487,1004.39,0.6
1655,Disciplined,0.389,0.741,763.81,0.4
1656,Weekend_Impulse,0.612,0.446,1156.19,0.5
1657,Emotional_Night,0.792,0.346,648.08,0.6
1658,Emotional_Night,0.766,0.385,712.59,0.6
1659,Weekend_Impulse,0.5,0.455,946.89,0.5
1660,Salary_Splurger,0.682,0.403,1615.96,0.5
1661,Weekend_Impulse,0.548,0.403,1112.73,0.5
1662,Emotional_Night,0.78,0.431,1117.06,0.6
1663,Disciplined,0.341,0.774,845.63,0.4
1664,Disciplined,0.428,0.66,765.09,0.4
1665,Disciplined,0.38,0.67,916.04,0.4
1666,Disciplined,0.413,0.653,820.27,0.4
1667,Disciplined,0.43,0.652,799.21,0.4
1668,Disciplined,0.384,0.752,646.61,0.4
1669,Disciplined,0.423,0.652,823.61,0.4
1670,Disciplined,0.474,0.639,727.25,0.4
1671,Salary_Splurger,0.745,0.366,1766.04,0.5
1672,Emotional_Night,0.745,0.344,821.3,0.6
1673,Disciplined,0.402,0.788,606.23,0.4
1674,Disciplined,0.313,0.742,892.57,0.4
1675,Disciplined,0.354,0.718,834.55,0.4
1676,Disciplined,0.34,0.689,732.18,0.4
1677,Weekend_Impulse,0.504,0.535,1409.08,0.5
1678,Emotional_Night,0.815,0.388,724.92,0.6
1679,Weekend_Impulse,0.542,0.532,716.77,0.5
1680,Salary_Splurger,0.569,0.494,1955.36,0.5
1681,Disciplined,0.489,0.766,818.9,0.4
1682,Weekend_Impulse,0.696,0.468,883.32,0.5
1683,Emotional_Night,0.883,0.211,792.88,0.6
1684,Weekend_Impulse,0.63,0.529,830.44,0.5
1685,Salary_Splurger,0.533,0.335,1929.29,0.5
1686,Disciplined,0.382,0.71,888.2,0.4
1687,Weekend_Impulse,0.562,0.419,917.03,0.5
1688,Weekend_Impulse,0.7,0.573,1238.83,0.5
1689,Emotional_Night,0.874,0.335,490.81,0.6
1690,Disciplined,0.315,0.744,811.33,0.4
1691,Disciplined,0.361,0.686,823.79,0.4
1692,Disciplined,0.355,0.652,996.52,0.4
1693,Weekend_Impulse,0.678,0.443,533.97,0.5
1694,Disciplined,0.352,0.729,715.1,0.4
1695,Emotional_Night,0.899,0.491,1059.04,0.6
1696,Disciplined,0.418,0.793,607.69,0.4
1697,Disciplined,0.482,0.649,844.64,0.4
1698,Salary_Splurger,0.778,0.369,1703.87,0.5
1699,Weekend_Impulse,0.693,0.475,798.53,0.5
